WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
110,132,1,38126,23.393,26.142,51.9379845,2.026005
110,133,1,38209,23.343,23.072,52.71317829,1.78808
110,134,1,38291,23.294,20.001,53.48837209,1.5500775
110,135,1,38564,23.141,20.239,54.26356589,1.5685225
110,136,1,38917,22.943,21.896,55.03875969,1.69694
110,137,1,39111,22.801,22.794,55.81395349,1.766535
110,137,0,38890,22.801,21.744,55.81395349,1.68516
110,137,0,38670,22.801,20.694,55.81395349,1.603785
110,137,0,38337,22.619,20.311,55.81395349,1.5741025
110,136,-1,37947,22.342,20.271,55.03875969,1.5710025
110,135,-1,37573,22.075,20.266,54.26356589,1.570615
110,134,-1,37599,22.05,21.06,53.48837209,1.63215
110,133,-1,37624,22.025,21.854,52.71317829,1.693685
110,132,-1,37650,22,22.649,51.9379845,1.7552975
110,131,-1,37735,21.942,22.341,51.1627907,1.7314275
110,130,-1,37819,21.884,22.033,50.3875969,1.7075575
110,130,0,37950,21.818,21.862,50.3875969,1.694305
110,130,0,38418,21.692,22.697,50.3875969,1.7590175
110,130,0,38886,21.566,23.533,50.3875969,1.8238075
110,130,0,39315,21.461,24.085,50.3875969,1.8665875
110,131,1,39509,21.49,22.9,51.1627907,1.77475
110,132,1,39703,21.519,21.715,51.9379845,1.6829125
110,132,0,39859,21.664,21.787,51.9379845,1.6884925
110,132,0,39977,21.926,23.117,51.9379845,1.7915675
110,133,1,40096,22.188,24.448,52.71317829,1.89472
110,133,0,40408,22.442,24.294,52.71317829,1.882785
110,133,0,40729,22.695,24.079,52.71317829,1.8661225
110,133,0,41049,22.949,23.864,52.71317829,1.84946
110,133,0,41659,22.949,22.663,52.71317829,1.7563825
110,133,0,42269,22.949,21.463,52.71317829,1.6633825
180,133,0,43077,23.098,21.13,52.71317829,1.637575
180,134,1,44136,23.438,21.901,53.48837209,1.6973275
180,134,0,45195,23.778,22.672,53.48837209,1.75708
180,134,0,45704,24.086,23.429,53.48837209,1.8157475
180,134,0,46201,24.393,24.185,53.48837209,1.8743375
180,134,0,46526,24.736,25.098,53.48837209,1.945095
180,135,1,46770,25.096,26.085,54.26356589,2.0215875
180,135,0,47014,25.455,27.072,54.26356589,2.09808
180,135,0,47661,25.77,27.198,54.26356589,2.107845
180,136,1,48480,26.065,26.955,55.03875969,2.0890125
180,137,1,49416,26.463,26.252,55.81395349,2.03453
180,138,1,50430,26.93,25.243,56.58914729,1.9563325
180,139,1,51062,27.211,24.745,57.36434109,1.9177375
180,140,1,51312,27.306,24.76,58.13953488,1.9189
180,141,1,51361,27.546,24.752,58.91472868,1.91828
180,142,1,51019,28.069,24.701,59.68992248,1.9143275
180,143,1,50717,28.497,24.769,60.46511628,1.9195975
180,144,1,50600,28.497,25.377,61.24031008,1.9667175
180,144,0,50594,28.506,25.484,61.24031008,1.97501
180,145,1,50901,28.543,24.166,62.01550388,1.872865
180,145,0,51211,28.58,22.992,62.01550388,1.78188
180,145,0,51545,28.633,23.482,62.01550388,1.819855
180,145,0,51880,28.687,23.972,62.01550388,1.85783
180,145,0,52601,28.999,24.697,62.01550388,1.9140175
180,146,1,53347,29.327,25.436,62.79069767,1.97129
180,146,0,53295,29.273,25.75,62.79069767,1.995625
180,146,0,53091,29.145,25.983,62.79069767,2.0136825
180,147,1,53663,29.298,26.057,63.56589147,2.0194175
180,147,0,54455,29.529,26.086,63.56589147,2.021665
180,148,1,55281,29.863,26.551,64.34108527,2.0577025
180,148,0,56123,30.246,27.22,64.34108527,2.10955
180,149,1,56149,30.202,26.281,65.11627907,2.0367775
180,149,0,56020,30.076,25.036,65.11627907,1.94029
180,150,1,55329,29.821,25.997,65.89147287,2.0147675
180,151,1,54498,29.533,27.508,66.66666667,2.13187
180,151,0,54366,29.388,27.665,66.66666667,2.1440375
180,151,0,54341,29.263,27.529,66.66666667,2.1334975
180,152,1,54153,29.041,25.685,67.44186047,1.9905875
180,151,-1,53964,28.819,23.841,66.66666667,1.8476775
180,151,0,53964,28.47,22.752,66.66666667,1.76328
180,151,0,54012,28.089,21.853,66.66666667,1.6936075
180,150,-1,54020,27.844,22.563,65.89147287,1.7486325
180,150,0,53976,27.785,25.497,65.89147287,1.9760175
180,150,0,53954,27.718,27.858,65.89147287,2.158995
180,150,0,54022,27.622,27.933,65.89147287,2.1648075
180,150,0,54167,27.586,27.829,65.89147287,2.1567475
180,150,0,54782,27.926,26.631,65.89147287,2.0639025
180,150,0,55396,28.265,25.433,65.89147287,1.9710575
180,151,1,56463,28.606,25.652,66.66666667,1.98803
180,151,0,57914,28.948,27.079,66.66666667,2.0986225
180,151,0,57917,28.729,27.854,66.66666667,2.158685
180,152,1,56685,28.032,28.073,67.44186047,2.1756575
180,152,0,56507,27.904,28.204,67.44186047,2.18581
180,152,0,56923,28.097,28.286,67.44186047,2.192165
180,152,0,57895,28.69,28.697,67.44186047,2.2240175
180,153,1,58988,29.37,29.18,68.21705426,2.26145
180,153,0,59311,29.342,27.016,68.21705426,2.09374
180,153,0,59465,29.157,24.271,68.21705426,1.8810025
180,154,1,59618,28.973,21.526,68.99224806,1.668265
180,154,0,59694,28.771,22.942,68.99224806,1.778005
110,155,1,59671,28.545,29.654,69.76744186,2.298185
110,155,0,59396,28.224,32.63,69.76744186,2.528825
110,156,1,58907,27.821,32.421,70.54263566,2.5126275
110,156,0,58221,27.594,30.6,70.54263566,2.3715
110,156,0,57450,27.443,28.088,70.54263566,2.17682
110,157,1,57285,27.561,26.464,71.31782946,2.05096
110,156,-1,58196,28.159,26.42,70.54263566,2.04755
110,156,0,58675,28.367,26.34,70.54263566,2.04135
110,156,0,57924,27.467,26.158,70.54263566,2.027245
110,156,0,57082,26.575,25.94,70.54263566,2.01035
110,155,-1,55419,25.758,25.387,69.76744186,1.9674925
110,155,0,53755,24.941,24.833,69.76744186,1.9245575
110,154,-1,52639,24.555,25.068,68.99224806,1.94277
110,154,0,51571,24.207,25.371,68.99224806,1.9662525
110,153,-1,50979,23.994,25.34,68.21705426,1.96385
110,152,-1,50632,23.85,25.136,67.44186047,1.94804
110,151,-1,50285,23.706,24.933,66.66666667,1.9323075
110,150,-1,50087,23.613,24.541,65.89147287,1.9019275
110,149,-1,50203,23.625,23.751,65.11627907,1.8407025
110,149,0,50319,23.637,22.96,65.11627907,1.7794
110,149,0,50519,23.65,22.671,65.11627907,1.7570025
110,149,0,50884,23.662,23.354,65.11627907,1.809935
110,149,0,51248,23.674,24.037,65.11627907,1.8628675
110,149,0,51667,23.725,24.872,65.11627907,1.92758
110,148,-1,52183,23.847,25.977,64.34108527,2.0132175
110,148,0,52699,23.969,27.082,64.34108527,2.098855
110,147,-1,53462,24.819,28.037,63.56589147,2.1728675
110,147,0,54231,25.684,28.989,63.56589147,2.2466475
110,147,0,55530,26.496,28.674,63.56589147,2.222235
110,147,0,56929,27.298,28.118,63.56589147,2.179145
110,147,0,57793,27.908,27.976,63.56589147,2.16814
110,147,0,58403,28.427,28.029,63.56589147,2.1722475
110,147,0,57977,28.484,28.277,63.56589147,2.1914675
110,148,1,56800,28.205,28.665,64.34108527,2.2215375
110,148,0,56252,28.104,28.704,64.34108527,2.22456
110,148,0,56058,28.104,28.547,64.34108527,2.2123925
110,148,0,55947,28.118,26.998,64.34108527,2.092345
110,148,0,55859,28.135,25.056,64.34108527,1.94184
110,148,0,55863,28.141,22.586,64.34108527,1.750415
110,148,0,55923,28.141,19.791,64.34108527,1.5338025
110,148,0,55983,28.141,16.996,64.34108527,1.31719
110,148,0,55658,28.013,21.065,64.34108527,1.6325375
110,148,0,55250,27.856,26.64,64.34108527,2.0646
110,149,1,54492,27.506,28.449,65.11627907,2.2047975
110,149,0,53570,27.064,28.485,65.11627907,2.2075875
110,148,-1,52925,26.783,28.539,64.34108527,2.2117725
110,148,0,52517,26.638,28.609,64.34108527,2.2171975
110,148,0,52176,26.404,27.794,64.34108527,2.154035
110,148,0,51922,26.056,25.854,64.34108527,2.003685
110,147,-1,51625,25.772,24.389,63.56589147,1.8901475
110,147,0,51246,25.612,23.847,63.56589147,1.8481425
110,147,0,50868,25.453,23.305,63.56589147,1.8061375
110,147,0,51364,25.294,23.027,63.56589147,1.7845925
110,147,0,51860,25.134,22.749,63.56589147,1.7630475
110,147,0,52172,25.166,21.535,63.56589147,1.6689625
110,147,0,52390,25.295,19.838,63.56589147,1.537445
110,146,-1,52607,25.425,18.142,62.79069767,1.406005
110,146,0,52825,25.555,16.445,62.79069767,1.2744875
110,146,0,53323,25.818,20.902,62.79069767,1.619905
110,146,0,53826,26.083,25.484,62.79069767,1.97501
180,146,0,54524,26.487,28.425,62.79069767,2.2029375
180,146,0,55341,26.975,30.359,62.79069767,2.3528225
180,146,0,56117,27.416,31.449,62.79069767,2.4372975
180,146,0,56770,27.724,30.135,62.79069767,2.3354625
180,146,0,57892,28.324,29.074,62.79069767,2.253235
180,146,0,59777,29.4,28.425,62.79069767,2.2029375
180,145,-1,61081,30.18,28.122,62.01550388,2.179455
180,145,0,61926,30.728,28.091,62.01550388,2.1770525
180,145,0,61996,31.416,27.016,62.01550388,2.09374
180,145,0,61848,32.144,25.647,62.01550388,1.9876425
180,145,0,61549,32.356,25.143,62.01550388,1.9485825
180,145,0,61204,32.405,24.913,62.01550388,1.9307575
180,145,0,61052,32.529,25.764,62.01550388,1.99671
180,146,1,60961,32.677,26.956,62.79069767,2.08909
180,146,0,60603,32.581,27.312,62.79069767,2.11668
180,147,1,60308,32.54,27.487,63.56589147,2.1302425
180,147,0,60342,32.793,27.353,63.56589147,2.1198575
180,147,0,60300,32.979,27.254,63.56589147,2.112185
180,148,1,60134,33.055,27.215,64.34108527,2.1091625
180,148,0,59624,32.923,26.409,64.34108527,2.0466975
180,149,1,58937,32.682,25.208,65.11627907,1.95362
180,149,0,58810,31.756,24.985,65.11627907,1.9363375
180,149,0,58823,30.659,25.007,65.11627907,1.9380425
180,150,1,58571,30.663,24.837,65.89147287,1.9248675
180,150,0,58325,30.684,24.658,65.89147287,1.910995
180,151,1,58339,30.577,24.349,66.66666667,1.8870475
180,151,0,58354,30.469,24.039,66.66666667,1.8630225
180,152,1,58415,30.384,25.573,67.44186047,1.9819075
180,153,1,58477,30.299,27.145,68.21705426,2.1037375
180,154,1,58598,30.192,28.1,68.99224806,2.17775
110,154,0,58927,30.008,26.867,68.99224806,2.0821925
110,155,1,59272,29.868,26.605,69.76744186,2.0618875
110,156,1,59639,29.795,27.801,70.54263566,2.1545775
