WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,98,-1,34345,24,11.913,30.47619048,1.036431
25,98,0,34345,24,12.901,30.47619048,1.122387
25,97,-1,34345,24,13.404,29.52380952,1.166148
25,98,1,32490,24,13.289,30.47619048,1.156143
25,99,1,32490,24,13.174,31.42857143,1.146138
25,100,1,33124,24,12.576,32.38095238,1.094112
25,101,1,33124,24,11.957,33.33333333,1.040259
25,102,1,33199,24,11.72,34.28571429,1.01964
25,101,-1,33199,24,11.808,33.33333333,1.027296
25,101,0,33199,25,11.891,33.33333333,1.034517
25,101,0,34190,25,11.959,33.33333333,1.040433
25,101,0,34190,25,12.027,33.33333333,1.046349
25,102,1,35485,25,11.957,34.28571429,1.040259
25,102,0,35485,25,11.861,34.28571429,1.031907
25,102,0,35485,25,10.843,34.28571429,0.943341
25,103,1,35485,25,8.0364,35.23809524,0.6991668
25,103,0,35485,25,5.2294,35.23809524,0.4549578
25,104,1,32396,24,2.4223,36.19047619,0.2107401
25,104,0,33590,23,8.7889,36.19047619,0.7646343
25,105,1,33590,23,16.649,37.14285714,1.448463
195,106,1,33172,23,18.216,38.0952381,1.584792
195,105,-1,33172,24,15.926,37.14285714,1.385562
195,106,1,33172,24,13.951,38.0952381,1.213737
195,106,0,34345,24,13.625,38.0952381,1.185375
195,106,0,34345,23,13.299,38.0952381,1.157013
195,107,1,35654,24,14.292,39.04761905,1.243404
195,106,-1,35654,24,15.339,38.0952381,1.334493
195,107,1,35654,24,15.657,39.04761905,1.362159
195,107,0,37057,24,15.566,39.04761905,1.354242
195,108,1,37057,24,15.244,40,1.326228
195,110,2,37199,23,13.71,41.9047619,1.19277
195,110,0,37199,23,12.177,41.9047619,1.059399
195,111,1,41698,24,12.047,42.85714286,1.048089
195,112,1,41698,25,12.853,43.80952381,1.118211
195,113,1,40977,26,13.32,44.76190476,1.15884
195,114,1,40977,26,13.419,45.71428571,1.167453
195,115,1,40977,25,13.8,46.66666667,1.2006
195,115,0,44707,25,14.642,46.66666667,1.273854
195,115,0,44707,25,15.483,46.66666667,1.347021
195,115,0,44707,25,15.835,46.66666667,1.377645
195,115,0,43041,25,14.637,46.66666667,1.273419
195,115,0,43041,25,13.439,46.66666667,1.169193
195,115,0,41793,25,13.96,46.66666667,1.21452
195,115,0,41793,24,14.592,46.66666667,1.269504
195,115,0,41348,25,15.073,46.66666667,1.311351
195,115,0,41348,25,15.437,46.66666667,1.343019
195,116,1,41348,25,15.886,47.61904762,1.382082
195,116,0,40282,25,16.502,47.61904762,1.435674
195,117,1,40282,25,17.119,48.57142857,1.489353
195,117,0,42427,25,19.776,48.57142857,1.720512
195,118,1,42427,25,22.474,49.52380952,1.955238
195,118,0,43452,25,21.515,49.52380952,1.871805
195,119,1,43452,25,19.641,50.47619048,1.708767
195,120,1,42697,25,19.888,51.42857143,1.730256
195,120,0,42697,26,20.959,51.42857143,1.823433
195,121,1,42697,26,21.06,52.38095238,1.83222
195,121,0,43918,26,20.458,52.38095238,1.779846
195,122,1,43918,27,19.885,53.33333333,1.729995
195,123,1,45247,27,20.001,54.28571429,1.740087
195,123,0,45247,27,20.117,54.28571429,1.750179
195,124,1,45247,27,20.274,55.23809524,1.763838
195,124,0,48917,26,20.432,55.23809524,1.777584
195,124,0,48917,26,20.591,55.23809524,1.791417
195,125,1,48917,26,20.818,56.19047619,1.811166
195,125,0,47945,25,21.176,56.19047619,1.842312
195,126,1,47945,25,21.307,57.14285714,1.853709
195,126,0,47500,25,20.037,57.14285714,1.743219
195,127,1,47500,25,19.233,58.0952381,1.673271
195,127,0,47729,25,21.289,58.0952381,1.852143
195,128,1,47729,25,23.344,59.04761905,2.030928
195,128,0,45496,25,23.833,59.04761905,2.073471
195,129,1,45496,25,24.221,60,2.107227
195,130,1,46036,25,24.251,60.95238095,2.109837
195,130,0,46036,25,24.203,60.95238095,2.105661
195,131,1,46205,25,24.308,61.9047619,2.114796
195,131,0,46205,25,24.492,61.9047619,2.130804
195,132,1,45044,25,25.187,62.85714286,2.191269
195,132,0,45044,26,26.354,62.85714286,2.292798
195,132,0,45044,26,26.955,62.85714286,2.345085
