WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
25,114,-1,32990,24,20.688,43.07692308,1.3985088
25,113,-1,32990,24,20.589,42.30769231,1.3918164
25,112,-1,33521,24,20.005,41.53846154,1.352338
25,111,-1,33521,25,18.894,40.76923077,1.2772344
25,111,0,33967,25,17.784,40.76923077,1.2021984
25,110,-1,33967,25,17.731,40,1.1986156
25,110,0,33967,25,17.823,40,1.2048348
25,109,-1,32485,25,17.911,39.23076923,1.2107836
25,108,-1,32485,25,17.976,38.46153846,1.2151776
25,108,0,32485,25,18.04,38.46153846,1.219504
25,107,-1,31120,25,17.481,37.69230769,1.1817156
25,108,1,31120,25,16.247,38.46153846,1.0982972
25,108,0,31120,25,15.012,38.46153846,1.0148112
25,107,-1,30364,25,15.317,37.69230769,1.0354292
25,108,1,30364,24,16.487,38.46153846,1.1145212
25,107,-1,30781,24,17.378,37.69230769,1.1747528
25,107,0,30781,23,17.384,37.69230769,1.1751584
25,107,0,30781,23,17.389,37.69230769,1.1754964
25,106,-1,30737,23,17.368,36.92307692,1.1740768
25,106,0,30737,23,17.32,36.92307692,1.170832
25,105,-1,30737,23,17.272,36.15384615,1.1675872
25,103,-2,29908,23,17.19,34.61538462,1.162044
25,102,-1,29908,22,17.096,33.84615385,1.1556896
25,102,0,29908,22,16.959,33.84615385,1.1464284
25,101,-1,30433,22,16.433,33.07692308,1.1108708
25,101,0,30433,22,15.906,33.07692308,1.0752456
25,100,-1,30433,22,15.38,32.30769231,1.039688
25,100,0,30433,21,14.866,32.30769231,1.0049416
25,99,-1,29839,21,14.459,31.53846154,0.9774284
25,99,0,29839,21,14.052,31.53846154,0.9499152
25,98,-1,29839,20,13.645,30.76923077,0.922402
25,97,-1,29839,20,13.238,30,0.8948888
25,94,-3,28018,20,13.172,27.69230769,0.8904272
25,93,-1,28018,19,13.203,26.92307692,0.8925228
25,93,0,28018,19,13.234,26.92307692,0.8946184
25,92,-1,27075,19,12.963,26.15384615,0.8762988
25,91,-1,27075,18,12.391,25.38461538,0.8376316
25,89,-2,27075,18,11.818,23.84615385,0.7988968
130,89,0,25475,18,11.657,23.84615385,0.7880132
130,88,-1,25475,18,11.908,23.07692308,0.8049808
130,87,-1,25303,18,12.246,22.30769231,0.8278296
130,88,1,25303,19,13.954,23.07692308,0.9432904
130,89,1,26437,19,15.662,23.84615385,1.0587512
130,92,3,26437,19,16.017,26.15384615,1.0827492
130,93,1,26437,19,16.222,26.92307692,1.0966072
130,94,1,25004,19,15.908,27.69230769,1.0753808
130,96,2,25004,20,14.932,29.23076923,1.0094032
130,98,2,24601,20,14.666,30.76923077,0.9914216
130,101,3,24601,22,15.234,33.07692308,1.0298184
130,102,1,26476,23,15.632,33.84615385,1.0567232
130,104,2,26476,24,15.846,35.38461538,1.0711896
130,105,1,28420,25,15.994,36.15384615,1.0811944
130,106,1,28420,26,15.839,36.92307692,1.0707164
130,107,1,28420,27,15.684,37.69230769,1.0602384
130,108,1,29319,27,15.898,38.46153846,1.0747048
130,109,1,29319,27,16.256,39.23076923,1.0989056
130,110,1,29171,26,16.577,40,1.1206052
130,111,1,29171,26,16.622,40.76923077,1.1236472
130,112,1,28371,26,16.667,41.53846154,1.1266892
130,113,1,28371,26,16.758,42.30769231,1.1328408
130,114,1,28808,26,16.85,43.07692308,1.13906
130,114,0,28808,27,17.183,43.07692308,1.1615708
130,115,1,28808,27,17.676,43.84615385,1.1948976
130,116,1,29343,26,18.01,44.61538462,1.217476
130,117,1,29343,26,17.934,45.38461538,1.2123384
130,117,0,29633,26,17.866,45.38461538,1.2077416
130,118,1,29633,26,17.828,46.15384615,1.2051728
130,119,1,31577,26,17.893,46.92307692,1.2095668
25,119,0,31577,26,19.579,46.92307692,1.3235404
25,120,1,31577,26,21.266,47.69230769,1.4375816
25,121,1,30860,26,20.908,48.46153846,1.4133808
25,121,0,30860,26,18.15,48.46153846,1.22694
25,122,1,33933,26,16.207,49.23076923,1.0955932
25,122,0,33933,26,17.518,49.23076923,1.1842168
25,122,0,33933,25,18.829,49.23076923,1.2728404
25,122,0,33030,25,20.03,49.23076923,1.354028
25,121,-1,33030,25,18.575,48.46153846,1.25567
25,121,0,33030,24,17.12,48.46153846,1.157312
25,121,0,33138,24,16.345,48.46153846,1.104922
25,121,0,33138,24,17.157,48.46153846,1.1598132
25,120,-1,35126,24,17.97,47.69230769,1.214772
25,120,0,35126,24,19.189,47.69230769,1.2971764
25,120,0,35126,23,20.426,47.69230769,1.3807976
25,120,0,34144,23,21.663,47.69230769,1.4644188
25,119,-1,34144,23,20.243,46.92307692,1.3684268
25,119,0,34144,23,18.592,46.92307692,1.2568192
25,118,-1,33324,22,17.15,46.15384615,1.15934
25,118,0,33324,22,17.592,46.15384615,1.1892192
25,117,-1,33324,22,18.033,45.38461538,1.2190308
25,116,-1,33324,21,18.475,44.61538462,1.24891
25,115,-1,33786,21,17.436,43.84615385,1.1786736
25,114,-1,33786,21,16.302,43.07692308,1.1020152
25,113,-1,31533,21,15.756,42.30769231,1.0651056
25,111,-2,31533,21,16.721,40.76923077,1.1303396
25,110,-1,31533,21,17.686,40,1.1955736
25,109,-1,32082,21,17.876,39.23076923,1.2084176
25,108,-1,32082,22,17.94,38.46153846,1.212744
25,107,-1,31184,22,17.852,37.69230769,1.2067952
25,106,-1,31184,22,17.154,36.92307692,1.1596104
25,106,0,31184,22,16.456,36.92307692,1.1124256
25,104,-2,28808,22,15.931,35.38461538,1.0769356
25,104,0,28808,22,15.466,35.38461538,1.0455016
25,103,-1,28798,22,15.071,34.61538462,1.0187996
25,102,-1,28798,22,14.836,33.84615385,1.0029136
25,101,-1,28798,22,14.602,33.07692308,0.9870952
25,100,-1,27841,23,14.481,32.30769231,0.9789156
25,99,-1,27841,23,14.429,31.53846154,0.9754004
25,98,-1,27861,23,14.377,30.76923077,0.9718852
25,97,-1,27861,23,15.852,30,1.0715952
25,96,-1,27861,24,17.497,29.23076923,1.1827972
25,95,-1,27689,24,17.365,28.46153846,1.173874
25,95,0,27689,24,15.836,28.46153846,1.0705136
25,95,0,27723,24,14.521,28.46153846,0.9816196
25,94,-1,27723,23,14.523,27.69230769,0.9817548
25,93,-1,27723,23,14.525,26.92307692,0.98189
25,93,0,28396,23,14.557,26.92307692,0.9840532
25,92,-1,28396,24,14.766,26.15384615,0.9981816
25,92,0,28396,24,14.975,26.15384615,1.01231
25,92,0,28857,23,14.996,26.15384615,1.0137296
25,92,0,28857,23,14.534,26.15384615,0.9824984
25,92,0,28857,23,14.071,26.15384615,0.9511996
25,92,0,28263,22,13.446,26.15384615,0.9089496
25,90,-2,28263,22,12.244,24.61538462,0.8276944
25,89,-1,28263,22,11.042,23.84615385,0.7464392
25,88,-1,26516,22,10.544,23.07692308,0.7127744
25,87,-1,26516,22,10.942,22.30769231,0.7396792
25,88,1,26516,22,11.339,23.07692308,0.7665164
25,88,0,26260,22,11.494,23.07692308,0.7769944
25,88,0,26260,22,11.622,23.07692308,0.7856472
25,88,0,25563,21,11.737,23.07692308,0.7934212
25,86,-2,25563,21,11.65,21.53846154,0.78754
25,86,0,25563,21,11.563,21.53846154,0.7816588
25,85,-1,25632,21,11.716,20.76923077,0.7920016
25,86,1,25632,21,12.229,21.53846154,0.8266804
25,87,1,25632,21,12.741,22.30769231,0.8612916
25,88,1,24832,21,13.286,23.07692308,0.8981336
25,88,0,24832,21,13.862,23.07692308,0.9370712
25,89,1,24832,21,14.147,23.84615385,0.9563372
25,89,0,27507,21,13.812,23.84615385,0.9336912
25,89,0,27507,21,13.478,23.84615385,0.9111128
25,86,-3,27507,21,13.144,21.53846154,0.8885344
25,86,0,27507,22,12.81,21.53846154,0.865956
25,88,2,25499,21,11.637,23.07692308,0.7866612
25,88,0,25499,21,10.254,23.07692308,0.6931704
25,88,0,25598,21,9.364,23.07692308,0.6330064
25,88,0,25598,20,9.431,23.07692308,0.6375356
25,88,0,25598,20,9.4981,23.07692308,0.64207156
25,87,-1,24964,21,9.9938,22.30769231,0.67558088
25,86,-1,24964,21,10.71,21.53846154,0.723996
25,86,0,25283,21,11.179,21.53846154,0.7557004
25,85,-1,25283,21,10.861,20.76923077,0.7342036
25,86,1,24282,21,10.544,21.53846154,0.7127744
25,87,1,24282,21,10.447,22.30769231,0.7062172
25,87,0,24282,22,10.391,22.30769231,0.7024316
25,86,-1,24734,22,10.694,21.53846154,0.7229144
25,86,0,24734,22,11.534,21.53846154,0.7796984
25,86,0,21091,22,12.375,21.53846154,0.83655
25,88,2,21091,22,11.967,23.07692308,0.8089692
130,90,2,21091,23,11.422,24.61538462,0.7721272
130,91,1,22480,23,10.876,25.38461538,0.7352176
130,92,1,22480,23,11.372,26.15384615,0.7687472
130,93,1,23280,24,12.275,26.92307692,0.82979
130,95,2,23280,24,13.474,28.46153846,0.9108424
130,97,2,24184,25,14.925,30,1.00893
130,100,3,24184,25,14.642,32.30769231,0.9897992
130,103,3,23850,25,13.384,34.61538462,0.9047584
130,105,2,23850,25,12.736,36.15384615,0.8609536
130,107,2,24267,26,12.567,37.69230769,0.8495292
130,107,0,24267,26,13.321,37.69230769,0.9004996
130,109,2,24282,27,14.399,39.23076923,0.9733724
130,110,1,24282,27,14.42,40,0.974792
130,111,1,24282,27,13.945,40.76923077,0.942682
130,112,1,24861,27,13.905,41.53846154,0.939978
130,113,1,24861,27,14.208,42.30769231,0.9604608
130,114,1,26844,27,14.551,43.07692308,0.9836476
130,115,1,26844,28,15.143,43.84615385,1.0236668
130,115,0,27213,28,15.734,43.84615385,1.0636184
130,116,1,27213,28,15.922,44.61538462,1.0763272
130,117,1,27213,28,15.765,45.38461538,1.065714
130,118,1,27561,27,15.767,46.15384615,1.0658492
130,118,0,27561,27,16.054,46.15384615,1.0852504
130,119,1,30183,27,16.341,46.92307692,1.1046516
130,120,1,30183,26,17.453,47.69230769,1.1798228
130,121,1,30183,26,18.656,48.46153846,1.2611456
130,122,1,29667,26,19.418,49.23076923,1.3126568
130,123,1,29667,25,17.858,50,1.2072008
130,124,1,29991,25,16.299,50.76923077,1.1018124
130,125,1,29991,24,16.191,51.53846154,1.0945116
130,126,1,29991,24,16.401,52.30769231,1.1087076
130,127,1,30359,24,16.574,53.07692308,1.1204024
130,128,1,30359,24,16.697,53.84615385,1.1287172
130,128,0,30359,24,16.82,53.84615385,1.137032
130,128,0,32534,24,17.391,53.84615385,1.1756316
130,128,0,32534,24,17.972,53.84615385,1.2149072
130,128,0,32534,23,18.553,53.84615385,1.2541828
130,128,0,32534,23,19.048,53.84615385,1.2876448
130,128,0,32254,23,18.774,53.84615385,1.2691224
130,128,0,32254,22,18.5,53.84615385,1.2506
130,128,0,32254,21,18.226,53.84615385,1.2320776
130,128,0,33030,21,18.485,53.84615385,1.249586
130,127,-1,33030,21,20.431,53.07692308,1.3811356
130,127,0,33030,20,22.378,53.07692308,1.5127528
130,127,0,32342,20,24.248,53.07692308,1.6391648
130,127,0,32342,20,24.28,53.07692308,1.641328
130,127,0,32342,20,24.311,53.07692308,1.6434236
130,128,1,33678,20,24.151,53.84615385,1.6326076
130,128,0,33678,20,23.584,53.84615385,1.5942784
130,129,1,34390,20,23.017,54.61538462,1.5559492
130,129,0,34390,20,23.296,54.61538462,1.5748096
130,130,1,34586,20,23.629,55.38461538,1.5973204
130,131,1,34586,20,23.654,56.15384615,1.5990104
